date,LT1,PT1
2022-08-31 07:00:00,18.58,3952.28
2022-08-31 06:00:00,20.48,3830.56
2022-08-31 05:00:00,22.73,3704.59
2022-08-31 04:00:00,24.60,3589.17
2022-08-31 03:00:00,27.24,3674.87
2022-08-31 02:00:00,28.31,3863.87
2022-08-31 01:00:00,29.13,3932.94
2022-08-31 00:00:00,30.09,3986.74
2022-08-30 23:00:00,26.57,4048.99
2022-08-30 22:00:00,14.83,5355.75
2022-08-30 21:00:00,16.55,5260.38
2022-08-30 20:00:00,18.16,5163.09
2022-08-30 19:00:00,19.75,5060.67
2022-08-30 18:00:00,21.64,4911.63
2022-08-30 17:00:00,23.41,4835.27
2022-08-30 16:00:00,25.47,4762.22
2022-08-30 15:00:00,26.85,4643.92
2022-08-30 14:00:00,29.87,4500.10
2022-08-30 13:00:00,32.82,4431.15
2022-08-30 12:00:00,35.19,4332.62
2022-08-30 11:00:00,37.86,4210.95
2022-08-30 10:00:00,40.28,4060.92
2022-08-30 09:00:00,42.20,4014.30
2022-08-30 08:00:00,44.41,3851.57
2022-08-30 07:00:00,46.16,3830.30
2022-08-30 06:00:00,46.68,3917.02
2022-08-30 05:00:00,48.66,3928.04
2022-08-30 04:00:00,50.85,3590.05
2022-08-30 03:00:00,52.32,3753.13
2022-08-30 02:00:00,54.39,3979.25
2022-08-30 01:00:00,56.21,3602.46
2022-08-30 00:00:00,57.18,3672.13
2022-08-29 23:00:00,58.69,3908.79
2022-08-29 22:00:00,60.21,3608.01
2022-08-29 21:00:00,61.58,3821.30
2022-08-29 20:00:00,65.21,3783.61
2022-08-29 19:00:00,67.32,4062.90
2022-08-29 18:00:00,69.76,3879.83
2022-08-29 17:00:00,72.20,3808.32
2022-08-29 16:00:00,75.24,4267.78
2022-08-29 15:00:00,79.23,3685.19
2022-08-29 14:00:00,80.70,3622.48
2022-08-29 13:00:00,52.69,3699.94
2022-08-29 12:00:00,31.59,3956.48
2022-08-29 11:00:00,17.98,4901.21
2022-08-29 10:00:00,19.96,4660.81
2022-08-29 09:00:00,20.89,4525.54
2022-08-29 08:00:00,23.15,4418.96
2022-08-29 07:00:00,26.01,4272.95
2022-08-29 06:00:00,30.20,4144.74
2022-08-29 05:00:00,33.01,3804.38
2022-08-29 04:00:00,34.65,3724.16
2022-08-29 03:00:00,36.55,3659.97
2022-08-29 02:00:00,37.77,3792.60
2022-08-29 01:00:00,40.06,3801.42
2022-08-29 00:00:00,43.25,4025.60
2022-08-28 23:00:00,45.04,4356.99
2022-08-28 22:00:00,45.89,4384.56
2022-08-28 21:00:00,46.12,4412.28
2022-08-28 20:00:00,46.09,4407.90
2022-08-28 19:00:00,46.33,4428.92
2022-08-28 18:00:00,46.97,4515.82
2022-08-28 17:00:00,47.05,4472.13
2022-08-28 16:00:00,47.05,4458.33
2022-08-28 15:00:00,47.03,4449.91
2022-08-28 14:00:00,47.02,4442.58
2022-08-28 13:00:00,47.06,4435.34
2022-08-28 12:00:00,47.38,4400.20
2022-08-28 11:00:00,47.54,4350.20
2022-08-28 10:00:00,47.59,4340.52
2022-08-28 09:00:00,47.67,4332.62
2022-08-28 08:00:00,47.81,4333.75
2022-08-28 07:00:00,47.86,4325.38
2022-08-28 06:00:00,47.86,4316.46
2022-08-28 05:00:00,47.86,4308.97
2022-08-28 04:00:00,47.84,4300.04
2022-08-28 03:00:00,47.82,4292.24
2022-08-28 02:00:00,47.81,4283.36
2022-08-28 01:00:00,47.81,4277.66
2022-08-28 00:00:00,47.96,4203.57
2022-08-27 23:00:00,48.46,4128.86
2022-08-27 22:00:00,48.64,4116.24
2022-08-27 21:00:00,48.82,4072.49
2022-08-27 20:00:00,48.76,4034.22
2022-08-27 19:00:00,48.64,3893.07
2022-08-27 18:00:00,34.24,3793.64
2022-08-27 17:00:00,13.72,5138.40
2022-08-27 16:00:00,11.79,5464.56
2022-08-27 15:00:00,12.69,5314.36
2022-08-27 14:00:00,12.87,5263.98
2022-08-27 13:00:00,12.93,5217.28
2022-08-27 12:00:00,14.29,5072.35
2022-08-27 11:00:00,15.66,4789.38
2022-08-27 10:00:00,16.45,4696.41
2022-08-27 09:00:00,18.63,4386.18
2022-08-27 08:00:00,21.19,4282.83
2022-08-27 07:00:00,24.83,4154.09
2022-08-27 06:00:00,27.35,3983.27
2022-08-27 05:00:00,30.11,3863.75
2022-08-27 04:00:00,30.90,3817.96
2022-08-27 03:00:00,33.46,3735.07
2022-08-27 02:00:00,35.70,3653.92
2022-08-27 01:00:00,36.96,3764.93
2022-08-27 00:00:00,37.37,3830.44
2022-08-26 23:00:00,38.38,3963.33
2022-08-26 22:00:00,41.57,3685.39
2022-08-26 21:00:00,44.14,3857.05
2022-08-26 20:00:00,45.54,3929.43
2022-08-26 19:00:00,46.29,3893.13
2022-08-26 18:00:00,49.40,3784.81
2022-08-26 17:00:00,52.29,3840.26
2022-08-26 16:00:00,54.50,3693.47
2022-08-26 15:00:00,57.28,3944.81
2022-08-26 14:00:00,59.40,3634.10
2022-08-26 13:00:00,61.65,3891.79
2022-08-26 12:00:00,63.48,3825.14
2022-08-26 11:00:00,66.76,4086.02
2022-08-26 10:00:00,51.74,3629.61
2022-08-26 09:00:00,26.14,4062.03
2022-08-26 08:00:00,28.43,4084.24
2022-08-26 07:00:00,29.89,3995.04
2022-08-26 06:00:00,31.99,3847.89
2022-08-26 05:00:00,34.87,3737.64
2022-08-26 04:00:00,36.85,3630.63
2022-08-26 03:00:00,37.40,3580.12
2022-08-26 02:00:00,40.27,3746.50
2022-08-26 01:00:00,42.35,3933.51
2022-08-26 00:00:00,43.90,3580.02
2022-08-25 23:00:00,45.52,3694.50
2022-08-25 22:00:00,47.76,3913.61
2022-08-25 21:00:00,49.30,4098.89
2022-08-25 20:00:00,51.06,3968.38
2022-08-25 19:00:00,53.84,3663.27
2022-08-25 18:00:00,57.02,3747.82
2022-08-25 17:00:00,58.95,3881.43
2022-08-25 16:00:00,61.07,3970.95
2022-08-25 15:00:00,63.89,3869.16
2022-08-25 14:00:00,53.78,3735.53
2022-08-25 13:00:00,22.96,4367.71
2022-08-25 12:00:00,20.42,4574.26
2022-08-25 11:00:00,23.51,4488.16
2022-08-25 10:00:00,26.17,4235.00
2022-08-25 09:00:00,28.03,4027.69
2022-08-25 08:00:00,30.00,3952.20
2022-08-25 07:00:00,32.16,3869.81
2022-08-25 06:00:00,35.61,3732.01
2022-08-25 05:00:00,38.67,3606.89
2022-08-25 04:00:00,41.75,3683.52
2022-08-25 03:00:00,44.06,4017.65
2022-08-25 02:00:00,44.30,4076.97
2022-08-25 01:00:00,44.51,4153.11
2022-08-25 00:00:00,45.30,4208.17
2022-08-24 23:00:00,47.35,4010.94
2022-08-24 22:00:00,49.97,3652.57
2022-08-24 21:00:00,50.73,3686.64
2022-08-24 20:00:00,52.31,3853.16
2022-08-24 19:00:00,52.91,3847.20
2022-08-24 18:00:00,54.40,3947.33
2022-08-24 17:00:00,57.00,4241.64
2022-08-24 16:00:00,60.18,4293.41
2022-08-24 15:00:00,61.95,4200.26
2022-08-24 14:00:00,64.01,4295.21
2022-08-24 13:00:00,63.89,3854.25
2022-08-24 12:00:00,35.85,3866.29
2022-08-24 11:00:00,20.09,4954.53
2022-08-24 10:00:00,21.70,4814.65
2022-08-24 09:00:00,22.34,4802.03
2022-08-24 08:00:00,16.05,5988.64
2022-08-24 07:00:00,19.02,5798.51
2022-08-24 06:00:00,23.79,5778.01
2022-08-24 05:00:00,27.46,5654.88
2022-08-24 04:00:00,29.38,5578.46
2022-08-24 03:00:00,30.38,5503.93
2022-08-24 02:00:00,31.04,5454.48
2022-08-24 01:00:00,31.60,5387.42
2022-08-24 00:00:00,32.03,5240.80
2022-08-23 23:00:00,32.02,5227.13
2022-08-23 22:00:00,32.03,5207.08
2022-08-23 21:00:00,33.36,5095.43
2022-08-23 20:00:00,34.74,5013.94
2022-08-23 19:00:00,35.30,4955.61
2022-08-23 18:00:00,36.39,4842.03
2022-08-23 17:00:00,38.04,4788.06
2022-08-23 16:00:00,40.90,4602.44
2022-08-23 15:00:00,44.34,4553.86
2022-08-23 14:00:00,47.13,4398.19
2022-08-23 13:00:00,50.57,4318.19
2022-08-23 12:00:00,51.99,4273.55
2022-08-23 11:00:00,53.60,4553.77
